Logo,Title,Company,Location,Salary,Description,Apply Link
,Java Developer,,,"$94,307 a year","Job Duties:Performing development, maintenance programming and associated tasks for application systems that operate in the complex Java environments.Analyzing business process to define application functional requirements, technical specifications and performing modifications from design reviews, prototype evaluations and assessment testing. Working in complete SDLC of the project.Developing applications using full stack technologies Java/J2EE, Spring Boot, Spring Core, Hibernate/ORM, Web Services (REST & SOAP), JPA, Patterns/OO Design, Java Messaging Services (JMS) and Microservices.Designing and Implementing the User Interface with web technologies which includes Angular, JavaScript, AJAX & jQuery.Implementing Spring Boot service layer with dependency wiring, transaction, DAO and annotations. Developing Micro services with Spring boot along with the test cases and JUnit for unit testing, Mockito for mock creation and verification.Creating and Building REST APIs to provide JSON objects for communication with Client-Side Application.Performing Test and Debugging using the Junit framework in a Test-Driven Environment (TDD). Produce module specifications, unit test requirements, and system and integration test requirements.Directing and participating in software/hardware releases and installation tasks.Scheduling the build process for software applications and staging it to QA, UAT and production environments. Document detailed description of user needs to develop technical specification.Deploying the applications to Cloud Foundry using DevOps tools, Maven & Jenkins.Building and/or migrating to highly scalable web-based applications, with strong emphasis on operational elements such as redundancy, fault-tolerance, logging and monitoring, troubleshooting, and high availability.Troubleshooting and debugging complex issues and identify and implement solutions.Follow Agile/Scrum Development Methodology to implement project.Design and Develop stored procedures to extract data based on the business criteria.Develop application using MySQL, MongoDB database to store and fetch data.Design and develop APIs applications using Microservice architecture.Develop SQL queries, Joins, PL/SQL sub programs like stored procedures, triggers and functions.Creating and Building REST APIs to provide JSON objects for communication with Client-Side Application.Design and develop unit testcases using Mockito and J-Unit framework.Directing and participating in software/hardware releases and installation tasks.Minimum Education Requirement: This position requires minimum of Bachelor’s degree in computer science, computer information systems, information technology, or a combination of education and experience equating to the U.S. equivalent of a Bachelor’s degree in one of the aforementioned subjects.",http://sdhsystems.com/index.php/jobs/java-developer-4/
https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/3de76a469d3b484b52c76a0c4e643d91,L.L.Bean Virtual Summer Internship Program,L. L. Bean,"Freeport, ME",,"We invite you to be part of our team of trailblazers dedicated to helping people discover and enjoy the outside. Come join us. Because on the inside we’re all outsiders. And if it’s outside, we’re all in.At L.L.Bean, we’ve been a trusted source for quality apparel, reliable outdoor equipment and expert advice for over 100 years. Why? Because our employees love what they do and share a passion for the outdoors – whether they’re working inside or playing outside.We’re looking for college students who are ready for adventure in their professional life, and who desire to work for a company where we live our mission of inspiring and enabling all types of people to experience the restorative power of the outdoors.Our Virtual Summer Internship Program will fully immerse you in the business and culture of L.L.Bean, including what it means to Be an Outsider. You will produce meaningful work that directly impacts our company, build relationships with leaders, be mentored by business experts, be exposed to every corner of our business, and so much more. This is a 10-week paid position that typically begins in June and ends mid-August. Please note - all internships will be virtual.Over the past few years we have hosted interns in Creative (Copywriting, Design, Videography and Photo Art Direction), Customer Satisfaction (Call Centers), Engineering, Facilities, Finance, Health/Safety/Wellness, Human Resources, Information Services/IT, International, Marketing (Brand, Analytics/Data Science, Customer Insights, Performance Media), Merchandising/Product Creation (Product Development/Design), Retail, and Supply Chain.As an intern with L.L.Bean, you will be given the opportunity to work on projects that will have a direct impact on our company. Here’s a sample of some of the recent projects our interns have worked on:Update and enhance tools used to forecast inventory levels during promotional eventsAssist on video and catalog photo shootsPresent customer acquisition tactics, research, and recommendationsEnhance the customer experience and engagement with our brandTravel with the Experiential Marketing team to present “BeanOutsider at Work”Write content for our website, catalog, and social postsAnalyze performance trends, customer demand, and price point to determine assortment linesDive into Paid Search and performance media analyticsParticipate in re-designing the Gortex Bean BootAssist and drive Java backend development projectsDesign and develop specific branded materials for our Student Ambassador programQualifications:Must be currently enrolled in a 2 or 4-year college degree program; minimum 3.0 gpa requiredStrong preference will be given to rising Juniors and Seniors as well as Spring ’21 gradsPassion for the outdoors and L.L.Bean’s core activitiesHave proven leadership skills, with the ability to develop and motivate othersCapability to build strong partnerships and to work collaboratively to achieve goalsEnthusiasm, motivation, and a positive attitudeCurious, inquisitive problem solversDemonstrated interpersonal, written, and verbal communication skillsApplications for Summer 2021 are currently being accepted. Interviews will start to take place in January 2021. When applying, submit a resume and cover letter . Please indicate in your cover letter which department(s) you’d like to intern in.L.L.Bean offers temporary employees a 401(k) program with employer match, along with generous discounts on L.L.Bean merchandise. Please read more about our outstanding benefits package for employees at www.llbeancareers.com.Being outside brings out the best in us, no matter where we come from or what we believe. At L.L.Bean, we value individual differences and encourage our co-workers to be themselves – because the uniqueness of each individual makes L.L.Bean better.If you care about the outdoors, joining L.L.Bean is a great way to feel good about what you do. Our benefits package makes a good thing even better, with programs and perks designed to support your health and financial goals. Plus, maintaining a healthy work-life balance and re-charging outside are all part of the plan. Because, when it comes to the outside—we’re all in. Visit llbeancareers.com to learn more.From coastal marsh to alpine forest, ecosystems depend on diversity to flourish. We believe the same is true in the workplace. That’s why L.L.Bean is an equal opportunity employer, committed to sustaining our strengths by welcoming all kinds of people.",https://llbean.wd1.myworkdayjobs.com/en-US/LLBean_Careers/job/Freeport-ME/XMLNAME-2021-LLBean-Virtual-Summer-Internship-Program_JR4143?mode=job&iis=Indeed&iisn=Indeed.com
https://d2q79iu7y748jz.cloudfront.net/s/_logo/952078ae6c22ba48b48cfbbdd76ace32,Java Backend Developer,CAPCO,Remote,,"Java Backend DeveloperAbout the team:At the Capco Technology Delivery Centre, we are dedicated to the financial services industries. Our professionals combine innovative thinking with unrivalled industry and domain expertise to offer our clients consulting expertise, complex technology and package integration, transformation delivery, and managed services, to move their organizations forward. Through our collaborative and efficient approach, we help our clients successfully innovate, increase revenue, manage risk and regulatory change, reduce costs, and enhance controls. Our teams stay at the forefront of industry trends and technologies that are driving innovation. From strategy to launch, we are adept at delivering across the full product lifecycle.About the Job:As a member of the Capco Technology Delivery Team, you’ll bring practical knowledge of agile development methodologies and engineering best practices. As a Java Backend Developer, you’ll use your experience and skills to contribute to the quality and implementation of our software products for our customers.What You’ll Get to Do:Perform hands-on Java Development, adoption of modern software engineering & delivery practices using Java, Spring Boot, and Test AutomationWork closely with team to understand needs around client stakeholder managementDemonstrate a passion for learning and willingness to adopt new technologiesContribute to a culture of innovation, ideas, and continuous improvement along with a great attitude, solid communication skills, willingness to learn and collaborateDevelop and maintain Java applications and RESTful APIs in various environmentsAssist in the development of technical requirements for Agile development teamsDevelop updates, corrections, or enhancements including Business Logic in Java & SQLWhat You’ll Bring with You:2+ years of development experience using Java in a J2EE environmentExperience in Java and Spring Boot frameworkUnderstanding in creating applications with RESTful API – JSON and SwaggerExperience working with SQL and NoSQL databasesWorking knowledge of Git, Eclipse/IntelliExperience with Maven and/or GradleExperience working in an agile environmentWhy Capco?You will join a company that supports and encourages an entrepreneurial outlook and independent thinking. Capco is not about organizational charts and layers – we operate with little hierarchy because we want all employees to feel that Capco is their firm.We offer highly competitive benefits, including medical, dental and vision insurance, a 401(k) plan, tuition reimbursement, and a work culture focused on innovation and creation of lasting value for our clients and employees.Ready to take the Next Step?If this sounds like you, we would love to hear from you. This is an opportunity to make a difference and contribute to a highly successful company with a significant growth trajectory.",https://intonenetworks.com/careers-at-intone/
,Java Developer,,Remote,,"12+ month contract – Java Developer Candidate MUST HAVE PREVIOUS EXPERIENCE WORKING FOR LIBERTY MUTUAL – VERIFIED INTERNALLY, AND WILLING TO GO BACK Location: 100% remote, must work East Coast Hours Interview: Phone and Video Visa: No H1's or CPT Rate: Market (submit with rate or I will not even look at the resume) Looking for Java with Spring, Spring Boot and some cloud. · Demonstrated success in platform modernization initiatives, utilizing technologies such as REST; micro services; cloud platforms such as AWS, Azure or Google Cloud; and Java, NodeJS and Spring Boot. · An ability to code in multiple languages, including an object-oriented language, preferably Java/J2EE. · Strong oral and written communication skills—and a knack for explaining your decision-making process to non-engineers. · A collaborative, adaptable working style, demonstrated initiative and the ability to prioritize your time and efforts. · A thorough grasp of technology concepts, business operations, design and development tools, system architecture and technical standards.",https://www.dice.com/jobs/detail/Java-Developer-%28100%26%2337-Remote%29-Denken-Solutions---/10442686/OOJ%26%2332%26%2345%26%23322593%26%23451641
,Java Developer (100% Remote),,United States,,"Currently, we are looking for talented resources for one of our listed clients. If interested please reply to me with your updated resume or feel free to reach out to me for more details on .Title: Java DeveloperLocation: 100% remote, must work East Coast HoursDuration: 12+ MonthsJob Description:Looking for Java with Spring, Spring Boot and some cloud.Demonstrated success in platform modernization initiatives, utilizing technologies such as REST; micro services; cloud platforms such as AWS, Azure or Google Cloud and Java, NodeJS and Spring Boot.An ability to code in multiple languages, including an object-oriented language, preferably Java/J2EE.Strong oral and written communication skills-and a knack for explaining your decision-making process to non-engineers.A collaborative, adaptable working style, demonstrated initiative and the ability to prioritize your time and efforts.A thorough grasp of technology concepts, business operations, design and development tools, system architecture and technical standards",https://raptormaps.com/jobs/
,Software Engineer (Entry-Level),,,,"About the Position:We’re looking for an incredibly talented full-time software engineer. You would dive right into our fast-paced, multi-faceted engineering team and learn at lightning pace.Responsibilities:Design, build, test, deploy, and maintain softwareManage individual priorities, deadlines, and deliverablesPrepare and participate in software design discussions and code reviewsCommunicate and problem solve with various stakeholders such as customer facing teams, product management, and leadership.Qualifications:You are highly self-motivated, resourceful, and enjoy working alongside a motivated teamYou love learning new things fastYou iterate to improve software and deliver products on short time scalesYou have 1+ years of work experience in software developmentYou have experience with general purpose software programming languages (e.g. Python, Java, Javascript, etc.)You hold a Bachelor’s degree in Computer Science, similar technical field of study, or equivalent practical experience.All Raptor Maps Team MembersHave complete ownership and accountability over their role and success in the teamHave transparency into the operations of the rest of the company and are expected to be transparent and communicate honestly and effectivelyHave a sense of urgency. We are tackling a global problem, working in a fast-paced industry, and building a once in a lifetime company at Raptor Maps.Location:Work remote, work in a Boston-based office, or take a hybrid approach.To Apply:Please click here.",http://jobs.gotoagile.com/jb/Senior-Java-Developer-Jobs-in-Sandy-Springs-GA/5309438?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed
https://d2q79iu7y748jz.cloudfront.net/s/_logo/772424ff4be63cac2ed74b8fde3e881c,Senior Java Developer,Agile,"Sandy Springs, GA",$110 an hour,"Senior Java DeveloperPay: $110, 000 - $135, 000 + bonus (depending on level of experience)Our industry leading client based in Atlanta is seeking to hire multiple full stack Senior Java Developers to join their agile teams.In this role, you will be developing enterprise applications using Java 8, Spring Boot, microservices, and Angular8.NOTE: This is a remote position, however candidates must be based within the southeastern US. This part, unfortunately, is non-negotiable.Here' s what our ideal candidate has:5+ years of experience using Java (including Java 8)2+ years of experience using Angular (MUST have versions 4 or above). ReactJS is fine tooThey will also consider hiring a pure backend developer that has strong Java 8, Spring Boot, and Microservices experienceKeywords: Senior Software Engineer, Web Developer, Javscript, Typescript, REST, web services, Full-stack",https://careers.opentext.com/job/Virtual-Principal-Java-Software-Engineer/543272517/?feedId=319317&utm_source=Indeed&source=Indeed
https://d2q79iu7y748jz.cloudfront.net/s/_logo/f6cc3f9537bf57e476bdda9030f42741,Principal Java Software Engineer,opentext,Remote,,"OPENTEXT - THE INFORMATION COMPANYAs the Information Company, our mission at OpenText is to create software solutions and deliver services that redefine the future of digital. Be part of a winning team that leads the way in Enterprise Information Management.The opportunityThe InfoArchive group of OpenText Enterprise Content Management platforms division is focusing on the development and maintenance of the InfoArchive product line. InfoArchive is a unified enterprise archiving platform that stores structured data and unstructured content in a single, consolidated repository. This product enables corporations to preserve the value of enterprise information in a single, easily accessible, compliant, unified archive.As the sales and usage of InfoArchive are increasing OpenText is looking for people that will join a new development team.As a Principal Software Engineer, you will work on a proprietary XML database as part of the continuing success and design of the InfoArchive product. Over time you will work on the backend database systems as the InfoArchive architecture evolves to PostgreSQL and Lucene storage systems. You will work under little to no supervision and within general practices; implement features for a wide range of complex software modules in Java. To ensure product functionality completeness and the highest quality of work, you will work closely with product managers, QA engineers, technical writers, support engineers and other engineering teams worldwide.You are great atImplementing excellent code employing best practices and applicable design patterns while validating it with unit tests and integration testsLeading design specs, architectural reviews and code reviewsWorking on unusually complex and sensitive problems and provide state-of-the-art solutions that are highly creative.Acting as a lead contributor to the team and the organization as a whole. May get involved in developing, mentoring or coaching others.Being accountable for the delivery of subsystem, anticipating issues and addressing them proactivelyWhat it takesMS or PhD in CS or a related technical field and 7+ years of enterprise software development experienceStrong knowledge and experience (7+ years) with Java development of highly concurrent systemsStrong knowledge of distributed systems, multithreading programming and performance optimizationStrong knowledge of data structures, design patterns and architectural patternsExperience with programming against a databaseStrong communication skillsDesiredPractical experience with REST architecturePractical experience with profiling java codePractical experience with IDE, Perforce, Jira, TeamCity, GradlePractical experience with Agile/Lean software development methodologiesAt OpenText we understand and value diversity in our employees and are proud to be an Equal Opportunity Employer. We hire the best talent regardless of race, creed, color, national origin, ancestry, disability, marital status, sex, age, veteran status or sexual orientation. If you require accommodation at any time during the recruitment process please email accommodationrequests@opentext.com. Applicants have rights under Federal Employment Laws including but not limited to: Family and Medical Leave Act (FLMA) , Equal Employment Opportunity and Employee Polygraph Protection Act",https://careerportal.ceipal.com/jobs/career/4b17d3264fd9070a5be706c853ccd720/75c6b2d6319e12f37ff421834ad22fa8/NQ==
,Lead Java Developer,,,,"Eden prairie, Minnesota - United States | Posted - 08/31/20OverviewJob Title: Lead Java DeveloperDuration: 12+ months ContractLocation: Remote to Onsite in Eden Prairie, MNTop requirements:JavaSpringboot – APIAzure development.Azure functionsAzure gatewayNot just deploying appls to azure environment.The senior needs to lead both of the on-shore and offshore. Will be coordinating the effort. Will be responsible for delivery.No UI work.",http://search2.smartsearchonline.com/sis/jobs/jobdetails.asp?current_page=1&proximity=&city=&location=&job_type=&emp_status=&direct_jo_num=&country=&k1=&k2=&k3=&k4=&k5=&k6=&k7=&k8=&salary_min=&co_num=&apply=yes&job_number=42887&mode=job&iis=Job+Board&iisn=Indeed.com#job-details
,Mid Level Java Developer,,,,"Mid Level Java DeveloperAre you looking for a new and exciting job? What we are looking for: Excited and energized individuals who will be a good fit for the team. We will train you on the products and what you need to know.What you need to know: Be knowledgeable in JAVA and programming fundamentals. Pluses for experience/understanding web technologies, SEO, javascript, and Databases/security.Why Asponte?/Who We are? We are a small consulting firm and IBM premier business partner. We focus on selling services around the products we sell. We are a tight knit group, who like to have fun. We cater in lunches to the office, have snacks, have a few beers from time to time, and throw a football around to relax.Expected Duties: be trained in Portal and WCM, so that you will be a fully functional member of the team, doing java and WCM development. This can include everything from regular java applications, all the way to html based UI content. Travel can include up to 50%, although we prefer to schedule travel only as it makes sense, saving both our clients time and moneyTo Apply, please use the form on our website to send a copy of your resume and cover letter. In your cover letter you should include the answer to this question: After exploring www.asponte.com[1] how do you see yourself fitting in with us?Any questions do not hesitate to ask3-5 years java development experience ability to communicate in a professional environment authorization to work in the USA positive flexible attitude",http://jobs.gotoagile.com/jb/Lead-Java-Developer-Jobs-in-Sandy-Springs-GA/5309437?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed
